SerialNumber,Shana,Machoz,Ms_Nefashot,Minn,Gil,MatzavMishp,Pop_Group,DatSafa_C,HesderDiyur,ShnotLimudKlali_C,MatzavTaasuka_C,HachnasaKolelet,HachnasaAvoda,SemelMishlach_wp,OverVashav,OverVaMaakav,OverVaI1,OverVaI2,OverVaI3,OverVaI4,OverVaI5,OverVaI6,OverVaI7,OverVaAcher,OverVaEruim1,OverVaEruim2,OverVaEruim3,HeshbonMaakav,KartisAshKama,KartisAshP1,KartisAshP2,KartisAshP3,KartisAshP4,KartisAshS1,KartisAshS2,KartisAshS3,KartisAshS4,KartisAshS5,KartisAshS6,KartisAshS7,KartisAshNechsam,Mashkanta1,MashkantaMekorot,Halvaa,Halvaa2,Halvaa3,Halvaa4,Halvaa5,Halvaa6,Halvaa7,Halvaa8,Halvaa9,Halvaa10,Hovot,Hovot2,Hovot3,Hovot4,Hovot5,Hovot6,Hovot7,Hovot8,Hovot9,HovotLechatzim,Hashkaot1,Hashkaot2,Hashkaot3,Hashkaot4,Hashkaot5,Hashkaot6,Hashkaot7,Hashkaot8,Hashkaot9,Hashkaot10,HashkaotMaclit,Bituhim1,Bituhim2,Bituhim3,Bituhim4,Bituhim5,Bituhim6,SherutY1,SherutY2,SherutY3,SherutY4,SherutY5,SherutY6,NosCas1,NosCas2,NosCas3,NosCas4,HishuvRibit,HishuvRibitDribit,ShiurRibitBank,HipusM1,HipusM2,HipusM3,HipusM4,HipusM5,HipusM6,HipusM7,HipusM8,HipusM9,NoseCaspiM1,NoseCaspiM2,NoseCaspiM3,NoseCaspiM4,NoseCaspiM5,NoseCaspiM6,NoseCaspiM7,NoseCaspiM8,NoseCaspiM9,NoseCaspiM10,NoseCaspiHarhavaNihul,NoseCaspiHarhavaCarhanut,NoseCaspiHarhavaHalvaot,NoseCaspiHarhavaHishonot,NoseCaspiHarhavaBituhim,NoseCaspiHarhavaMashkanta,NoseCaspiHarhavaEynCoreh,MekorotM1,MekorotM2,MekorotM3,MekorotM4,MekorotM5,MekorotM6,MekorotM7,MekorotM8,MekorotM9,MekorotM10,MakorMuadaf,MakorMahooM,RamatYedaMash,nn
1,2012,1,4,1,7,1,1,3,1,6,3,10,,10,1,2,1,1,2,2,1,,,2,,1,1,1,3,2,1,2,2,1,2,,2,1,,,2,2,,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,1,1,1,2,2,2,1,,,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1020,1,2,5,4,4,4,1,1,1,,,1,4,1,4,1,3,1,1,3,3,0,0,0,0,0,0,1,1,1,2,1,2,2,2,2,,,1,1,1,4625.927387
2,2012,1,3,1,2,1,1,3,2,6,3,2,,10,1,3,1,,,1,,,,1,1,1,1,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1200,1,1,4,4,1,1,1,1,1,,,1,2,1,4,1,1,3,4,3,5,1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,,1,1,1,8013.949377
3,2012,2,6,2,6,1,1,3,1,5,1,8,4,1,1,3,1,1,1,1,1,,,1,5,5,1,2,5,,1,1,,1,,1,1,1,,,2,1,1,2,1,,,1,,,,,,1,,,,,,,,,,1,1,1,1,1,1,,,,,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,5,3,1,4,1,1,5,1,1,,,2,2,2,3,1,2,2,3,3,1,1,1,1,1,1,1,0,,,,1,1,1,1,1,,,1,5,1,4208.873196
4,2012,3,4,2,2,1,1,3,2,6,1,5,4,1,,,,,,,,,,,,,,2,2,2,1,2,2,1,1,1,1,1,,,2,1,1,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,1,2,1,2,2,2,2,,,7,1,1,2,1,1,1,2,2,2,2,2,2,1,3,1,1,1020,1,2,1,1,1,1,1,1,1,,,1,1,1,3,2,2,4,4,4,1,0,0,0,0,0,0,1,2,2,2,1,1,2,2,1,,,1,5,1,4512.80046
5,2012,3,5,2,6,1,1,3,1,6,1,10,8,1,1,2,1,1,2,1,2,,,2,1,1,1,2,3,2,1,2,2,1,1,1,1,1,,,2,1,1,2,1,2,2,2,1,2,2,,,1,,,,,,,,,,1,1,2,1,2,2,2,2,,,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1020,3,2,2,1,1,1,1,1,1,,,1,2,1,4,1,2,3,4,4,3,0,0,0,1,0,0,0,2,2,2,1,1,1,2,1,,,1,8,1,4013.111652
6,2012,3,1,1,8,3,1,3,4,6,1,7,8,4,1,2,1,2,2,2,2,2,,2,1,1,1,1,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,1,2,2,2,2,2,,1,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1020,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,1,3,3,4,4,4,1,1,0,1,1,0,0,2,2,2,2,2,2,2,2,2,,,,1,3628.776047
7,2012,3,4,2,3,1,1,3,1,5,1,10,5,3,1,1,,,,,,,,1,4,1,1,2,4,2,1,2,1,2,1,2,2,1,,,2,1,4,2,1,1,2,2,1,2,2,,,1,,,,,,,,,,2,,1,1,2,1,1,1,,,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1020,1,1,5,5,1,1,2,1,1,,,1,3,2,2,2,3,2,2,2,2,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,,,,1,3257.528459
8,2012,3,6,1,6,1,2,1,1,3,1,7,7,6,1,3,1,1,1,1,1,,,1,1,1,1,2,4,2,1,2,2,1,2,1,2,2,,,2,1,1,2,1,2,2,2,2,2,2,2,,1,,,,,,,,,,1,1,1,2,1,2,2,2,,,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1200,2,3,1,3,1,1,1,1,1,,,2,2,1,4,3,3,2,4,3,4,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,,,1,3,1,2825.744903
9,2012,4,3,1,5,1,1,3,1,6,1,7,6,0,,,,,,,,,,,,,,1,4,1,1,1,1,1,2,2,2,2,,,2,1,1,2,1,1,2,2,2,2,2,,,1,,,,,,,,,,2,2,2,2,1,2,2,,,,1,1,1,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1020,4,1,1,5,,,2,1,1,,,1,1,1,1,2,3,1,1,1,1,0,0,0,0,1,0,0,1,1,2,1,1,1,2,1,,,,,1,5154.744487
10,2012,4,4,2,8,5,1,3,1,6,1,10,9,0,1,2,1,2,1,2,2,,,2,1,1,1,1,2,2,1,2,2,2,1,1,2,1,,,2,1,1,1,,,,,,,,,,1,,,,,,,,,,1,1,1,2,1,2,2,2,,,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,1020,2,2,4,4,4,1,2,1,1,,,1,5,1,4,1,2,2,3,4,2,0,1,0,0,0,0,0,1,1,1,2,1,1,2,1,,,1,8,1,4159.93281
11,2012,4,6,1,5,1,1,3,1,5,1,10,10,0,1,2,1,1,2,2,2,,,2,4,1,1,1,3,2,1,2,2,1,3,1,2,1,,,2,1,1,1,,,,,,,,,,1,,,,,,,,,,2,1,1,2,2,2,1,1,,,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1020,1,1,5,4,3,1,2,2,1,,,1,4,1,4,1,1,1,2,3,3,0,0,0,1,0,0,0,1,1,1,2,1,1,1,2,,,1,5,1,3809.19584
12,2012,4,4,1,4,1,1,3,1,6,1,10,10,10,1,3,1,1,2,2,1,,,1,3,2,1,1,3,2,1,2,2,2,1,1,2,1,,,2,1,1,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,2,2,2,,,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1020,1,1,5,5,2,1,1,1,1,,,1,3,1,4,1,1,3,4,4,2,0,0,0,1,1,0,0,1,1,2,2,2,2,2,2,,,1,1,1,4143.748082
13,2012,4,5,1,6,1,1,3,1,6,1,10,10,1,1,4,1,1,2,1,2,,,2,1,1,1,1,3,2,2,2,2,1,2,2,2,1,,,2,1,4,1,,,,,,,,,,1,,,,,,,,,,2,1,1,1,1,2,2,2,3,,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,1,1,1020,1,1,2,1,2,2,3,1,1,1,,2,4,1,4,2,2,2,2,4,1,0,0,0,1,1,0,0,1,1,1,1,1,1,3,1,,,1,8,1,4086.643744
14,2012,4,4,2,3,1,1,3,1,6,2,10,,10,1,2,1,1,2,2,2,,,2,1,1,1,1,5,2,1,2,2,2,1,2,2,1,1,"השתייכות למועדון רו""ח",2,1,1,2,1,2,2,2,2,2,1,2,,1,,,,,,,,,,2,1,1,1,1,1,2,2,2,,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1002,3,1,5,1,4,5,5,5,1,2,,1,3,1,4,1,1,2,4,4,2,0,0,0,0,1,0,0,1,2,1,1,1,1,1,3,,,1,6,1,2463.834709
15,2012,5,3,1,9,1,1,3,1,6,1,98,99,2,1,3,1,1,1,1,2,,,2,4,1,1,1,4,2,1,1,2,1,1,2,2,2,,,2,2,,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,1,1,2,1,1,2,2,,,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1020,1,2,5,5,2,2,1,1,1,,,2,4,1,2,1,3,1,3,4,2,0,0,0,0,0,0,1,1,1,2,2,1,2,2,1,,,2,,1,3135.051054
16,2012,6,4,2,1,5,1,3,1,4,1,99,98,3,1,4,1,1,1,1,1,,,2,3,2,1,3,1,,,,,,,,,,,,,2,,2,1,2,2,2,2,2,2,2,,1,,,,,,,,,,2,2,1,1,2,2,2,2,2,,1,2,2,2,1,2,1,2,1,2,2,1,1,3,3,2,2,1020,5,1,1,2,1,1,2,3,1,2,,1,3,5,4,3,3,1,4,2,1,0,0,0,0,0,0,1,1,1,2,1,2,1,2,2,2,,1,2,1,2504.782393
