SerialNumber,source_column,raw_value
292,OverVaI7,אפליקציה באייפון
550,OverVaI7,אפליקציה באייפון
709,OverVaI7,חשבון שמגיע בדואר עם פרוט הוצאות
710,OverVaI7,פועלים ישיר בטלפון
778,OverVaI7,פעם בחודש בודק חשבון
929,OverVaI7,בנק דואר מענה קולי
936,OverVaI7,מהפלאפון (אפליקציה)
966,OverVaI7,פקס
1091,OverVaI7,באמצעות מיופה כח בחשבון.
104,Halvaa10,ליסינג - ניו קופל
189,Halvaa10,אב
279,Halvaa10,"גמ""ח"
282,Halvaa10,קרנות שוטרים
292,Halvaa10,כלל מימון
375,Halvaa10,אובר בתקציב הקבוץ
397,Halvaa10,קיבוץ
403,Halvaa10,ללא פרוט
470,Halvaa10,הורים
508,Halvaa10,משפחה
514,Halvaa10,"גמ""ח"
520,Halvaa10,לפעמים מאבא שלי
536,Halvaa10,"גמ""חים"
701,Halvaa10,"משפחה,אחים ןאחיות"
896,Halvaa10,"צה""ל"
930,Halvaa10,הלוואה של הג'ויינט לסטודנטים
933,Halvaa10,שוק אפור
967,Halvaa10,בן משפחה
998,Halvaa10,"הלוואה מארה""ב"
1008,Halvaa10,עיריה
1024,Halvaa10,"גמ""ח שערי חסד"
1025,Halvaa10,מעשרות
1040,Halvaa10,קבוץ-עלות שיפוץ
1099,Halvaa10,?
1167,Halvaa10,משפחה
1172,Halvaa10,"גמ""ח"
1183,Halvaa10,"גמ""ח"
1214,Halvaa10,צ.ה.ל
160,Hovot9,בעסק לא פרטי
292,Hovot9,ביטוח לאומי
294,Hovot9,משכנתא
336,Hovot9,רשות השידור
471,Hovot9,ביטוח לאומי
487,Hovot9,בנק ולאנשים
504,Hovot9,גו של הילד - עירייה
507,Hovot9,רשות השידור
508,Hovot9,משפחה
544,Hovot9,ביטוח לאומי
587,Hovot9,לא צויין
701,Hovot9,"משפחה,אחים אחיוןת"
710,Hovot9,ביטוח לאומי
712,Hovot9,קיבוץ
866,Hovot9,סלקום
967,Hovot9,בן משפחה
994,Hovot9,בנקים
1025,Hovot9,9998
35,Hashkaot10,מניות
52,Hashkaot10,"פק""מ,מטבע זר"
103,Hashkaot10,"חסכון קטן לכל ילד 100 ש""ח"
202,Hashkaot10,חברת השקעות
219,Hashkaot10,"פק""מ"
274,Hashkaot10,"נדל""ן"
289,Hashkaot10,"קצת חסכתי לעצמי אבל לא בכל הנ""ל אלא לעצמי."
336,Hashkaot10,פקדנות בבנק
523,Hashkaot10,"נדוניה פי ארבע- הגמ""ח המרכזי ביתר"
806,Hashkaot10,תיק השקעות
822,Hashkaot10,מניות
885,Hashkaot10,אין לי
954,Hashkaot10,9998
968,Hashkaot10,מניות
1007,Hashkaot10,"יחידות השתתפות - גבעות יה""ש"
1073,Hashkaot10,מניות
1128,Hashkaot10,שוק ההון
1206,Hashkaot10,מטבע זר
18,HipusM9,"עיתון מארה""ב"
89,HipusM9,"מהנאמר במקום העבודה, בבנק."
553,HipusM9,יועץ השקעות בבנק
731,HipusM9,+
744,HipusM9,סומכת על הבעל
829,HipusM9,יועץ בבנק
839,HipusM9,הורים
867,HipusM9,פקיד בבנק
1025,HipusM9,9998
1030,HipusM9,אייפון
1040,HipusM9,מוסדות כלכליים בקבוץ
1061,HipusM9,הרצאות של שוק ההון
1099,HipusM9,רואה חשבון
1114,HipusM9,ידיעות אחרונות
1123,HipusM9,טלויזיה
1155,HipusM9,ביתי שעוזרת בניהול כספי
103,MekorotM10,לא רוצה מידע רוצה לסמוך על המדינה
369,MekorotM10,7
553,MekorotM10,בעלי היקר
846,MekorotM10,חומר קריאה ברור ומובן
867,MekorotM10,בנק
971,MekorotM10,היי רוצה למצוא מקור פרנסה נוסף
