SerialNumber,source_column,removed_value,reason
323,Halvaa10,1,single numeric answer code in free-text detail field
91,Hashkaot10,1,single numeric answer code in free-text detail field
984,Hashkaot10,1,single numeric answer code in free-text detail field
6,HipusM9,1,single numeric answer code in free-text detail field
162,HipusM9,3,single numeric answer code in free-text detail field
242,HipusM9,1,single numeric answer code in free-text detail field
275,HipusM9,1,single numeric answer code in free-text detail field
363,HipusM9,1,single numeric answer code in free-text detail field
381,HipusM9,2,single numeric answer code in free-text detail field
728,HipusM9,1,single numeric answer code in free-text detail field
765,HipusM9,4,single numeric answer code in free-text detail field
1015,HipusM9,3,single numeric answer code in free-text detail field
1044,HipusM9,4,single numeric answer code in free-text detail field
563,MekorotM10,1,single numeric answer code in free-text detail field
1127,MekorotM10,1,single numeric answer code in free-text detail field
