feature_name,max_abs_standardized_coef,final_standardized_coef,entry_C,entry_step,source_columns,feature_type,transformation
financial_knowledge_mean,36.76170502648393,36.76170502648393,1.7842934914518662,20.0,"q20_knowledge_mean,interest_calc_1_score,interest_calc_2_score,saving_program_interest_score,mortgage_knowledge_score",aggregate_score,row-wise mean of related semantic scores
employment_status_code_1,28.85321694584508,-28.85321694584508,0.3281506835704358,11.0,MatzavTaasuka_C,indicator,one-hot categorical encoding
work_income_mid_missing,28.32406794165046,-28.32406794165046,2.153657422554886,21.0,HachnasaAvoda,indicator,missing indicator for HachnasaAvoda
interest_calc_2_score,25.449236320942955,-25.449236320942955,0.15460800979085865,7.0,HishuvRibitDribit,semantic_score,Q22 score order: 1 > 2 > 3 > 5 > 4
SherutY3_idk,23.393826451252128,-23.393826451252128,0.18661318301485477,8.0,SherutY3,indicator,IDK indicator
NoseCaspiM3_attitude_score_not_relevant,20.623699659286476,-20.623699659286476,0.05,1.0,NoseCaspiM3,indicator,not-relevant indicator for NoseCaspiM3
has_loan_yes,20.323122388526233,-20.323122388526233,0.05,1.0,Halvaa,semantic_score,binary yes/no score
MekorotM4_missing,17.903132072482062,17.903132072482062,0.1061234421212497,5.0,MekorotM4,indicator,Q27 non-ordinal source-interest one-hot
SherutY4_idk,16.962623431549833,16.962623431549833,0.1280918973960562,6.0,SherutY4,indicator,IDK indicator
KartisAshP4_missing,16.116565534584602,-16.116565534584602,0.8406688738069995,16.0,KartisAshP4,indicator,missing indicator
Halvaa2_missing,16.059191569409553,16.059191569409553,0.5770378565332791,14.0,Halvaa2,indicator,missing indicator
NoseCaspiM3_attitude_score,15.94030985243625,-15.94030985243625,0.05,1.0,NoseCaspiM3,semantic_score,Q25 positive statement score: strongly agree highest; not relevant zero
NosCas1_knowledge_score_missing,15.24192793243858,-15.24192793243858,0.1061234421212497,5.0,NosCas1,indicator,missing indicator for NosCas1
Bituhim2_code_4,14.634998922215399,-14.634998922215399,0.1061234421212497,5.0,Bituhim2,indicator,one-hot insurance answer: yes/no/IDK/no need
bank_balance_tracking_score_missing,14.612869038069586,-14.612869038069586,0.5770378565332791,14.0,OverVaMaakav,indicator,missing indicator for OverVaMaakav
