SerialNumber,y_debt,logistic_l2_error,knn_error,kernel_logistic_rbf_error
1,0,0,0,0
3,0,0,1,0
4,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
12,0,0,0,0
13,0,0,0,0
15,0,0,0,0
17,0,0,0,0
18,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
24,1,1,0,1
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,1,1,1
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
36,0,0,0,0
38,0,0,0,0
39,0,0,0,0
41,0,0,0,0
42,1,0,0,0
44,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,1,1,1
52,0,0,0,0
53,0,0,0,0
56,0,0,0,0
57,0,0,0,0
59,1,1,1,1
61,1,1,1,1
62,0,0,1,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,1,0
70,0,0,0,0
73,0,0,0,0
75,0,0,0,0
77,0,0,0,0
79,0,0,0,0
82,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,1,0,0,0
87,0,0,0,0
89,0,0,0,0
91,0,0,0,0
93,0,0,0,0
94,0,0,0,0
96,1,1,1,1
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
103,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,1,1,1
111,0,0,0,0
113,0,1,1,0
114,0,0,1,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
119,0,0,1,0
120,0,1,1,1
123,0,0,0,0
125,0,0,1,0
127,1,1,1,1
128,0,0,0,0
130,1,0,0,0
134,0,0,0,0
135,1,0,0,0
136,0,0,1,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
146,0,1,0,1
147,0,0,1,1
148,0,0,0,0
149,1,1,1,1
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,1,0
155,0,1,1,1
156,0,0,0,0
159,0,0,0,0
161,1,0,0,1
163,0,0,0,0
165,0,1,1,1
166,0,0,0,0
167,0,0,0,0
169,0,0,0,0
170,0,0,1,0
171,0,0,0,0
172,1,0,0,0
173,1,1,1,1
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,1,0,0,0
188,0,0,0,0
192,0,0,0,0
194,1,0,0,0
195,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
202,0,0,0,0
204,1,1,1,1
206,0,0,0,0
208,0,0,0,0
210,0,0,0,0
211,0,0,0,0
212,1,0,0,0
213,0,0,0,0
214,0,0,1,0
216,0,0,0,0
218,0,0,0,0
219,0,1,0,0
220,0,0,0,0
223,0,1,1,0
224,0,1,1,1
225,0,0,0,0
229,1,0,0,1
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,1,0,0,0
237,0,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0,0,0,0
243,0,0,0,0
244,1,1,0,1
245,1,0,0,0
246,0,0,0,0
247,0,0,0,0
249,0,0,1,0
250,0,0,0,0
252,0,0,0,0
255,0,0,0,0
257,1,0,0,0
260,0,0,0,0
262,0,0,0,0
264,0,0,0,0
266,0,0,0,0
267,1,1,1,1
268,0,0,0,0
269,0,0,0,0
270,0,0,0,0
272,0,0,0,0
274,0,0,0,0
275,0,0,1,0
276,0,0,0,0
279,0,1,0,0
280,0,0,0,0
281,0,0,0,0
282,0,0,0,0
284,0,0,0,0
285,0,0,0,0
286,0,0,0,0
288,0,0,0,0
289,0,0,0,0
290,0,0,0,0
293,0,0,0,0
295,0,0,0,0
296,0,0,0,0
298,0,0,0,0
299,0,0,0,0
300,0,0,0,0
302,0,0,0,0
304,0,1,1,1
307,0,0,0,0
308,1,0,0,0
309,0,0,0,0
310,0,0,0,0
312,0,0,0,0
314,0,0,0,0
315,1,0,0,0
316,1,0,0,0
317,0,1,1,1
318,1,1,1,1
320,0,1,1,1
321,1,1,1,1
322,1,0,0,0
323,0,1,1,1
325,0,1,1,1
326,1,0,0,0
328,1,1,1,1
329,1,1,1,1
331,0,0,0,0
333,1,1,1,1
