component,rank,feature_name,abs_loading,signed_loading,source_columns,feature_type,transformation
PC1,1,KartisAshS4_missing,0.13249071152287195,0.13249071152287195,KartisAshS4,indicator,missing indicator
PC1,2,KartisAshS3_missing,0.12764728078679916,0.12764728078679916,KartisAshS3,indicator,missing indicator
PC1,3,KartisAshS5_missing,0.12675989474077004,0.12675989474077004,KartisAshS5,indicator,missing indicator
PC1,4,KartisAshP4_missing,0.12650457098018408,0.12650457098018408,KartisAshP4,indicator,missing indicator
PC1,5,KartisAshS2_missing,0.1263605327300323,0.1263605327300323,KartisAshS2,indicator,missing indicator
PC1,6,KartisAshP1_missing,0.12224196909774562,0.12224196909774562,KartisAshP1,indicator,missing indicator
PC1,7,KartisAshP3_missing,0.11937640851305803,0.11937640851305803,KartisAshP3,indicator,missing indicator
PC1,8,KartisAshP2_missing,0.11311602105313834,0.11311602105313834,KartisAshP2,indicator,missing indicator
PC1,9,KartisAshS1_missing,0.11273088926037034,0.11273088926037034,KartisAshS1,indicator,missing indicator
PC1,10,KartisAshNechsam_missing,0.10700123691706724,0.10700123691706724,KartisAshNechsam,indicator,missing indicator
PC1,11,KartisAshP4_no,0.10670491051084714,-0.10670491051084714,KartisAshP4,indicator,no indicator
PC1,12,KartisAshP1_no,0.09962773785566459,-0.09962773785566459,KartisAshP1,indicator,no indicator
PC1,13,financial_knowledge_mean,0.09709231191131361,-0.09709231191131361,"q20_knowledge_mean,interest_calc_1_score,interest_calc_2_score,saving_program_interest_score,mortgage_knowledge_score",aggregate_score,row-wise mean of related semantic scores
PC1,14,credit_cards_count,0.09438000241376626,-0.09438000241376626,KartisAshKama,numeric,credit-card count from coded answers
PC1,15,KartisAshNechsam_no,0.09404350814273475,-0.09404350814273475,KartisAshNechsam,indicator,no indicator
PC1,16,OverVaEruim3_frequency_good_behavior_score_missing,0.09194600795651255,0.09194600795651255,OverVaEruim3,indicator,missing indicator for OverVaEruim3
PC1,17,OverVaEruim2_frequency_good_behavior_score_missing,0.09185194446198788,0.09185194446198788,OverVaEruim2,indicator,missing indicator for OverVaEruim2
PC1,18,KartisAshS5_yes,0.09168788713878914,-0.09168788713878914,KartisAshS5,indicator,yes indicator
PC1,19,OverVaI2_missing,0.09082088757248928,0.09082088757248928,OverVaI2,indicator,missing indicator for OverVaI2
PC1,20,Halvaa4_missing,0.08695292069246759,0.08695292069246759,Halvaa4,indicator,missing indicator
PC1,21,Halvaa5_missing,0.08631638882249104,0.08631638882249104,Halvaa5,indicator,missing indicator
PC1,22,Halvaa4_no,0.08601097296003003,-0.08601097296003003,Halvaa4,indicator,no indicator
PC1,23,KartisAshP2_yes,0.08595779112506836,-0.08595779112506836,KartisAshP2,indicator,yes indicator
PC1,24,KartisAshS4_no,0.08514669614508963,-0.08514669614508963,KartisAshS4,indicator,no indicator
PC1,25,Halvaa7_missing,0.08509795676237264,0.08509795676237264,Halvaa7,indicator,missing indicator
PC1,26,HipusM5_info_search_score_missing,0.08495297506168843,0.08495297506168843,HipusM5,indicator,missing indicator for HipusM5
PC1,27,Halvaa7_no,0.08472312491950855,-0.08472312491950855,Halvaa7,indicator,no indicator
PC1,28,Halvaa5_no,0.08360627161511684,-0.08360627161511684,Halvaa5,indicator,no indicator
PC1,29,HipusM6_info_search_score_missing,0.08357835015967688,0.08357835015967688,HipusM6,indicator,missing indicator for HipusM6
PC1,30,OverVaEruim1_frequency_good_behavior_score_missing,0.08343483299828632,0.08343483299828632,OverVaEruim1,indicator,missing indicator for OverVaEruim1
PC2,1,Hashkaot7_missing,0.1278831127286734,0.1278831127286734,Hashkaot7,indicator,missing indicator
PC2,2,Hashkaot8_missing,0.11920303800181821,0.11920303800181821,Hashkaot8,indicator,missing indicator
PC2,3,Hashkaot2_no,0.11685392051514985,-0.11685392051514985,Hashkaot2,indicator,no indicator
PC2,4,Hashkaot6_missing,0.11665786752999786,0.11665786752999786,Hashkaot6,indicator,missing indicator
PC2,5,Hashkaot8_no,0.11622683410232384,-0.11622683410232384,Hashkaot8,indicator,no indicator
PC2,6,Hashkaot5_missing,0.11465935758223533,0.11465935758223533,Hashkaot5,indicator,missing indicator
PC2,7,Hashkaot7_no,0.11202738210225577,-0.11202738210225577,Hashkaot7,indicator,no indicator
PC2,8,Hashkaot3_no,0.11148514213737913,-0.11148514213737913,Hashkaot3,indicator,no indicator
PC2,9,Hashkaot5_no,0.11055445579087962,-0.11055445579087962,Hashkaot5,indicator,no indicator
